Algoritmo,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
K-Centros 1,0.3042 ± 0.0736,0.4229 ± 0.0000,0.4703 ± 0.0000,10.9240 ± 0.0000
K-Centros 1,0.2691 ± 0.0624,0.2904 ± 0.0000,0.3734 ± 0.0000,10.1586 ± 0.0000
K-Centros 1,0.1443 ± 0.0035,0.7021 ± 0.0000,0.8664 ± 0.0000,4.7997 ± 0.0000
K-Centros 1,0.1544 ± 0.0044,0.3775 ± 0.0000,0.3502 ± 0.0000,8.4435 ± 0.0000
K-Centros 2,0.0053 ± 0.0005,0.2985 ± 0.0000,0.3614 ± 0.0000,14.5563 ± 0.0000
K-Centros 2,0.0023 ± 0.0013,0.1411 ± 0.0000,0.3267 ± 0.0000,18.9975 ± 0.0000
K-Centros 2,0.0081 ± 0.0006,0.6392 ± 0.0000,0.4481 ± 0.0000,11.3726 ± 0.0000
K-Centros 2,0.0014 ± 0.0001,0.4874 ± 0.0000,0.6875 ± 0.0000,14.0229 ± 0.0000
K-Centros 2,0.0048 ± 0.0017,-0.0070 ± 0.0000,0.1937 ± 0.0000,11.1692 ± 0.0000
K-Centros 2,0.0050 ± 0.0005,0.4447 ± 0.0000,0.5085 ± 0.0000,13.3017 ± 0.0000
K-Centros 2,0.0076 ± 0.0012,0.2143 ± 0.0000,0.1335 ± 0.0000,18.3425 ± 0.0000
K-Centros 2,0.0069 ± 0.0021,0.2588 ± 0.0000,0.1981 ± 0.0000,11.6828 ± 0.0000
K-Centros 2,0.0033 ± 0.0003,0.6053 ± 0.0000,0.5194 ± 0.0000,6.1819 ± 0.0000
K-Centros 2,0.0024 ± 0.0002,0.4351 ± 0.0000,0.3266 ± 0.0000,7.3422 ± 0.0000
K-Centros 1,0.5944 ± 0.1569,0.3820 ± 0.0000,0.5703 ± 0.0000,7.8139 ± 0.0000
K-Centros 1,0.2826 ± 0.0660,0.3236 ± 0.0000,0.4980 ± 0.0000,12.9845 ± 0.0000
K-Centros 1,0.3164 ± 0.0776,0.5253 ± 0.0000,0.5548 ± 0.0000,11.6881 ± 0.0000
K-Centros 1,0.3116 ± 0.0757,0.5253 ± 0.0000,0.5548 ± 0.0000,11.6881 ± 0.0000
K-Centros 1,0.1560 ± 0.0106,0.4761 ± 0.0000,0.3646 ± 0.0000,9.8010 ± 0.0000
K-Centros 1,0.2270 ± 0.0050,0.2904 ± 0.0000,0.3734 ± 0.0000,10.1586 ± 0.0000
K-Centros 1,0.3069 ± 0.0764,0.3095 ± 0.0000,0.2517 ± 0.0000,16.5565 ± 0.0000
K-Centros 1,0.3044 ± 0.0663,0.5253 ± 0.0000,0.5548 ± 0.0000,11.6881 ± 0.0000
K-Centros 1,0.3709 ± 0.0882,0.6848 ± 0.0000,0.7442 ± 0.0000,9.4675 ± 0.0000
K-Centros 1,0.1423 ± 0.0036,0.6781 ± 0.0000,0.8260 ± 0.0000,4.7997 ± 0.0000
K-Centros 1,0.2839 ± 0.0623,0.4698 ± 0.0000,0.5016 ± 0.0000,15.5639 ± 0.0000
K-Centros 1,0.2383 ± 0.0057,0.4698 ± 0.0000,0.5016 ± 0.0000,15.5639 ± 0.0000
K-Centros 1,0.2376 ± 0.0352,0.4761 ± 0.0000,0.3646 ± 0.0000,9.8010 ± 0.0000
K-Centros 1,0.1936 ± 0.0061,0.6232 ± 0.0000,0.6821 ± 0.0000,12.7727 ± 0.0000
K-Centros 1,0.2782 ± 0.0385,0.5253 ± 0.0000,0.5548 ± 0.0000,11.6881 ± 0.0000
K-Centros 1,0.3083 ± 0.0718,0.5253 ± 0.0000,0.5548 ± 0.0000,11.6881 ± 0.0000
K-Centros 1,0.3727 ± 0.0912,0.6848 ± 0.0000,0.7442 ± 0.0000,9.4675 ± 0.0000
K-Centros 1,0.2270 ± 0.0054,0.6164 ± 0.0000,0.5554 ± 0.0000,6.5997 ± 0.0000
K-Centros 1,0.5770 ± 0.1456,0.3820 ± 0.0000,0.5703 ± 0.0000,7.8139 ± 0.0000
K-Centros 1,0.1795 ± 0.0349,0.7021 ± 0.0000,0.8664 ± 0.0000,4.7997 ± 0.0000
K-Centros 1,0.2834 ± 0.0702,0.4698 ± 0.0000,0.5016 ± 0.0000,15.5639 ± 0.0000
K-Centros 1,0.1944 ± 0.0050,0.6594 ± 0.0000,0.9288 ± 0.0000,11.6193 ± 0.0000
K-Centros 1,0.1434 ± 0.0042,0.7021 ± 0.0000,0.8664 ± 0.0000,4.7997 ± 0.0000
K-Centros 1,0.2661 ± 0.0638,0.5773 ± 0.0000,0.6504 ± 0.0000,6.1678 ± 0.0000
K-Centros 1,0.3756 ± 0.0921,0.6848 ± 0.0000,0.7442 ± 0.0000,9.4675 ± 0.0000
K-Centros 1,0.5854 ± 0.1492,0.3293 ± 0.0000,0.4836 ± 0.0000,7.8333 ± 0.0000
K-Centros 1,0.2313 ± 0.0080,0.6164 ± 0.0000,0.5554 ± 0.0000,6.5997 ± 0.0000
K-Centros 1,0.2387 ± 0.0065,0.3982 ± 0.0000,0.4831 ± 0.0000,12.9845 ± 0.0000
K-Centros 1,0.2693 ± 0.0668,0.6164 ± 0.0000,0.5554 ± 0.0000,6.5997 ± 0.0000
K-Centros 1,0.6331 ± 0.1908,0.3820 ± 0.0000,0.5703 ± 0.0000,7.8139 ± 0.0000
K-Centros 1,0.3729 ± 0.0897,0.6848 ± 0.0000,0.7442 ± 0.0000,9.4675 ± 0.0000
K-Centros 1,0.2568 ± 0.0586,0.2904 ± 0.0000,0.3734 ± 0.0000,10.1586 ± 0.0000
K-Centros 1,0.2676 ± 0.0288,0.4051 ± 0.0000,0.4580 ± 0.0000,10.9240 ± 0.0000
K-Centros 1,0.1789 ± 0.0352,0.7021 ± 0.0000,0.8664 ± 0.0000,4.7997 ± 0.0000
K-Centros 1,0.1854 ± 0.0396,0.4761 ± 0.0000,0.3646 ± 0.0000,9.8010 ± 0.0000
