Algoritmo,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
K-Centros 1,0.9126 ± 0.2148,0.5919 ± 0.0000,-0.0009 ± 0.0000,1.6800 ± 0.0000
K-Centros 1,0.0311 ± 0.0017,0.2744 ± 0.0000,0.1043 ± 0.0000,183.3910 ± 0.0000
K-Centros 1,0.2758 ± 0.0835,-1.0000 ± 0.0000,0.0000 ± 0.0000,54.2771 ± 0.0000
K-Centros 1,0.2759 ± 0.0540,0.8572 ± 0.0000,0.0311 ± 0.0000,4250.0345 ± 0.0000
K-Centros 1,0.3339 ± 0.0778,0.5237 ± 0.0000,0.0110 ± 0.0000,307.2312 ± 0.0000
K-Centros 1,0.2476 ± 0.0075,0.8572 ± 0.0000,0.0311 ± 0.0000,4269.0000 ± 0.0000
K-Centros 1,0.3935 ± 0.0900,0.6529 ± 0.0000,0.0396 ± 0.0000,89496.6275 ± 0.0000
K-Centros 1,0.4394 ± 0.0998,0.4246 ± 0.0000,-0.0016 ± 0.0000,62.7774 ± 0.0000
K-Centros 1,0.4425 ± 0.1015,0.4115 ± 0.0000,0.0022 ± 0.0000,97.0000 ± 0.0000
K-Centros 1,0.6328 ± 0.1617,0.5272 ± 0.0000,-0.0033 ± 0.0000,227.8358 ± 0.0000
K-Centros 1,0.3286 ± 0.0786,0.6819 ± 0.0000,0.0001 ± 0.0000,49.2138 ± 0.0000
K-Centros 1,0.2648 ± 0.0467,0.8572 ± 0.0000,0.0311 ± 0.0000,4250.0345 ± 0.0000
K-Centros 1,0.3845 ± 0.1024,0.6819 ± 0.0000,0.0001 ± 0.0000,56.0000 ± 0.0000
K-Centros 1,0.8129 ± 0.1981,-1.0000 ± 0.0000,0.0000 ± 0.0000,1.0532 ± 0.0000
K-Centros 1,0.3415 ± 0.0819,0.4314 ± 0.0000,0.1102 ± 0.0000,529.0000 ± 0.0000
K-Centros 1,0.3738 ± 0.0705,0.6529 ± 0.0000,0.0396 ± 0.0000,89496.6275 ± 0.0000
K-Centros 1,0.3156 ± 0.0511,0.4314 ± 0.0000,0.1102 ± 0.0000,529.0000 ± 0.0000
K-Centros 1,0.0343 ± 0.0061,0.2069 ± 0.0000,0.2421 ± 0.0000,143.4224 ± 0.0000
K-Centros 1,0.3340 ± 0.0771,0.5237 ± 0.0000,0.0110 ± 0.0000,307.2312 ± 0.0000
K-Centros 1,0.4408 ± 0.1051,0.4115 ± 0.0000,0.0022 ± 0.0000,97.0000 ± 0.0000
K-Centros 1,0.5609 ± 0.1187,0.4564 ± 0.0000,-0.0034 ± 0.0000,566.5989 ± 0.0000
K-Centros 1,0.2844 ± 0.0646,0.8572 ± 0.0000,0.0311 ± 0.0000,4269.0000 ± 0.0000
K-Centros 1,0.9377 ± 0.2433,0.5919 ± 0.0000,-0.0009 ± 0.0000,1.6800 ± 0.0000
K-Centros 1,0.3241 ± 0.0683,0.1731 ± 0.0000,0.0315 ± 0.0000,601.0000 ± 0.0000
K-Centros 1,0.2912 ± 0.0684,0.8572 ± 0.0000,0.0311 ± 0.0000,4250.0345 ± 0.0000
K-Centros 1,0.5768 ± 0.1244,0.5272 ± 0.0000,-0.0033 ± 0.0000,227.8358 ± 0.0000
K-Centros 1,0.3405 ± 0.0816,0.6462 ± 0.0000,0.0823 ± 0.0000,235.9174 ± 0.0000
K-Centros 1,0.3692 ± 0.1757,0.6819 ± 0.0000,0.0001 ± 0.0000,49.2138 ± 0.0000
K-Centros 1,0.0478 ± 0.0093,0.4622 ± 0.0000,0.1007 ± 0.0000,548.8289 ± 0.0000
K-Centros 1,0.3209 ± 0.0669,0.5237 ± 0.0000,0.0110 ± 0.0000,307.2312 ± 0.0000
K-Centros 1,0.3933 ± 0.0927,0.6529 ± 0.0000,0.0396 ± 0.0000,89496.6275 ± 0.0000
K-Centros 1,0.4515 ± 0.1072,0.4115 ± 0.0000,0.0022 ± 0.0000,97.0000 ± 0.0000
K-Centros 1,0.5750 ± 0.2026,0.5272 ± 0.0000,-0.0033 ± 0.0000,227.8358 ± 0.0000
K-Centros 1,0.6065 ± 0.1498,0.4564 ± 0.0000,-0.0034 ± 0.0000,566.5989 ± 0.0000
K-Centros 1,0.3361 ± 0.0797,0.1731 ± 0.0000,0.0315 ± 0.0000,601.0000 ± 0.0000
K-Centros 1,0.8205 ± 0.2132,-1.0000 ± 0.0000,0.0000 ± 0.0000,1.0532 ± 0.0000
K-Centros 1,0.3369 ± 0.0785,0.1731 ± 0.0000,0.0315 ± 0.0000,601.0000 ± 0.0000
K-Centros 1,0.0321 ± 0.0037,0.2451 ± 0.0000,0.1933 ± 0.0000,455.3771 ± 0.0000
