Dataset,Algoritmo,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintétido Distribuição Multivariada 0,K-Centros 2,0.0017 ± 0.0010,0.4874 ± 0.0000,0.6875 ± 0.0000,14.0229 ± 0.0000
Dataset Sintétido Distribuição Multivariada 1,K-Centros 2,0.0055 ± 0.0031,0.6053 ± 0.0000,0.5194 ± 0.0000,6.1819 ± 0.0000
Dataset Sintétido Distribuição Multivariada 2,K-Centros 2,0.0041 ± 0.0004,-0.0070 ± 0.0000,0.1937 ± 0.0000,11.1692 ± 0.0000
Dataset Sintétido Distribuição Multivariada 3,K-Centros 2,0.0024 ± 0.0002,0.4351 ± 0.0000,0.3266 ± 0.0000,7.3422 ± 0.0000
Dataset Sintétido Distribuição Multivariada 4,K-Centros 2,0.0077 ± 0.0007,0.6392 ± 0.0000,0.4481 ± 0.0000,11.3726 ± 0.0000
Dataset Sintétido Distribuição Multivariada 5,K-Centros 2,0.0018 ± 0.0002,0.1411 ± 0.0000,0.3267 ± 0.0000,18.9975 ± 0.0000
Dataset Sintétido Distribuição Multivariada 6,K-Centros 2,0.0074 ± 0.0007,0.2143 ± 0.0000,0.1335 ± 0.0000,18.3425 ± 0.0000
Dataset Sintétido Distribuição Multivariada 7,K-Centros 2,0.0053 ± 0.0002,0.2985 ± 0.0000,0.3614 ± 0.0000,14.5563 ± 0.0000
Dataset Sintétido Distribuição Multivariada 8,K-Centros 2,0.0066 ± 0.0009,0.2588 ± 0.0000,0.1981 ± 0.0000,11.6828 ± 0.0000
Dataset Sintétido Distribuição Multivariada 9,K-Centros 2,0.0049 ± 0.0005,0.4447 ± 0.0000,0.5085 ± 0.0000,13.3017 ± 0.0000
