Dataset,Algoritmo,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintético Distribuição Multivariada 0,K-Centros 2,0.0015 ± 0.0001,0.4957 ± 0.0000,0.6687 ± 0.0000,19.6313 ± 0.0000
Dataset Sintético Distribuição Multivariada 1,K-Centros 2,0.0060 ± 0.0027,0.5762 ± 0.0000,0.4916 ± 0.0000,7.6757 ± 0.0000
Dataset Sintético Distribuição Multivariada 2,K-Centros 2,0.0043 ± 0.0006,0.1206 ± 0.0000,0.2338 ± 0.0000,15.7836 ± 0.0000
Dataset Sintético Distribuição Multivariada 3,K-Centros 2,0.0024 ± 0.0001,0.4408 ± 0.0000,0.3146 ± 0.0000,9.5055 ± 0.0000
Dataset Sintético Distribuição Multivariada 4,K-Centros 2,0.0082 ± 0.0007,0.3059 ± 0.0000,0.2748 ± 0.0000,17.5068 ± 0.0000
Dataset Sintético Distribuição Multivariada 5,K-Centros 2,0.0020 ± 0.0014,0.1984 ± 0.0000,0.3852 ± 0.0000,22.7512 ± 0.0000
Dataset Sintético Distribuição Multivariada 6,K-Centros 2,0.0076 ± 0.0002,0.2041 ± 0.0000,0.1250 ± 0.0000,19.7399 ± 0.0000
Dataset Sintético Distribuição Multivariada 7,K-Centros 2,0.0059 ± 0.0017,0.3648 ± 0.0000,0.3057 ± 0.0000,20.3030 ± 0.0000
Dataset Sintético Distribuição Multivariada 8,K-Centros 2,0.0067 ± 0.0002,0.2580 ± 0.0000,0.1996 ± 0.0000,15.6634 ± 0.0000
Dataset Sintético Distribuição Multivariada 9,K-Centros 2,0.0081 ± 0.0031,0.2842 ± 0.0000,0.3105 ± 0.0000,24.5579 ± 0.0000
