Algoritmo,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo,Dataset
K-Means,0.0195 ± 0.0029,0.7669 ± 0.0000,0.9896 ± 0.0000,14.8107 ± 0.0000,dataset_0_dist_mult.csv
K-Means,0.0281 ± 0.0025,0.4852 ± 0.0003,0.7409 ± 0.0010,15.8632 ± 0.0000,dataset_1_dist_mult.csv
K-Means,0.0381 ± 0.0136,0.6015 ± 0.0000,0.8455 ± 0.0000,11.4450 ± 0.0000,dataset_2_dist_mult.csv
K-Means,0.0566 ± 0.0158,0.4226 ± 0.0018,0.5783 ± 0.0110,11.5106 ± 0.0000,dataset_3_dist_mult.csv
K-Means,0.0519 ± 0.0116,0.4394 ± 0.0023,0.6899 ± 0.0027,18.2694 ± 0.0061,dataset_4_dist_mult.csv
K-Means,0.0216 ± 0.0063,0.6804 ± 0.0000,0.9755 ± 0.0000,19.1114 ± 0.0000,dataset_5_dist_mult.csv
K-Means,0.0374 ± 0.0054,0.4556 ± 0.0001,0.7559 ± 0.0014,17.3312 ± 0.0143,dataset_6_dist_mult.csv
K-Means,0.0380 ± 0.0045,0.4414 ± 0.0000,0.6859 ± 0.0007,18.5989 ± 0.0000,dataset_7_dist_mult.csv
K-Means,0.0399 ± 0.0052,0.3493 ± 0.0103,0.4726 ± 0.0064,17.4235 ± 0.0871,dataset_8_dist_mult.csv
K-Means,0.0346 ± 0.0042,0.4209 ± 0.0003,0.6684 ± 0.0027,19.8590 ± 0.0293,dataset_9_dist_mult.csv
