Algoritmo,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo,Dataset
K-Means,0.0572 ± 0.0209,0.6542 ± 0.0001,0.1665 ± 0.0005,411985.0973 ± 8.0829,
K-Means,0.0933 ± 0.0445,0.3326 ± 0.0055,0.4055 ± 0.0186,2768.7261 ± 19.1158,
K-Means,0.4528 ± 0.1275,0.2722 ± 0.0045,0.0452 ± 0.0014,2.6730 ± 0.0820,
K-Means,0.0316 ± 0.0080,0.7025 ± 0.0000,0.0795 ± 0.0000,15223.1532 ± 0.0000,
K-Means,0.0330 ± 0.0135,0.5427 ± 0.0000,0.1367 ± 0.0000,111.0518 ± 0.0000,
K-Means,0.0471 ± 0.0197,0.3543 ± 0.0003,-0.0013 ± 0.0001,2.5921 ± 0.0184,dataset_0.csv
K-Means,0.0306 ± 0.0105,0.4081 ± 0.0000,-0.0014 ± 0.0000,2.3925 ± 0.1473,dataset_1.csv
K-Means,0.0192 ± 0.0097,0.4898 ± 0.0000,0.2461 ± 0.0000,1.8127 ± 0.0004,dataset_2.csv
K-Means,0.0168 ± 0.0016,0.4845 ± 0.0000,0.2461 ± 0.0000,1.9329 ± 0.0000,dataset_3.csv
K-Means,0.0184 ± 0.0016,0.6429 ± 0.0000,0.7938 ± 0.0000,17.9606 ± 0.0000,dataset_4.csv
K-Means,0.0201 ± 0.0042,0.6341 ± 0.0000,0.9414 ± 0.0000,24.4613 ± 0.0000,dataset_5.csv
K-Means,0.0388 ± 0.0155,0.5034 ± 0.0000,0.5905 ± 0.0000,7.4021 ± 0.0024,dataset_6.csv
K-Means,0.0427 ± 0.0145,0.6420 ± 0.0000,0.9829 ± 0.0000,11.3476 ± 0.0000,dataset_7.csv
K-Means,0.0357 ± 0.0160,0.6844 ± 0.0000,0.9957 ± 0.0000,14.2793 ± 0.0000,dataset_8.csv
K-Means,0.0123 ± 0.0019,0.3646 ± 0.0000,0.0475 ± 0.0000,4.5288 ± 0.0000,dataset_9.csv
K-Means,0.0362 ± 0.0061,0.4459 ± 0.0133,0.1204 ± 0.0009,1943.4479 ± 5.4125,
K-Means,0.0416 ± 0.0151,0.3753 ± 0.0000,0.1264 ± 0.0000,178.3239 ± 0.0000,
K-Means,0.0195 ± 0.0029,0.7669 ± 0.0000,0.9896 ± 0.0000,14.8107 ± 0.0000,dataset_0_dist_mult.csv
K-Means,0.0281 ± 0.0025,0.4852 ± 0.0003,0.7409 ± 0.0010,15.8632 ± 0.0000,dataset_1_dist_mult.csv
K-Means,0.0381 ± 0.0136,0.6015 ± 0.0000,0.8455 ± 0.0000,11.4450 ± 0.0000,dataset_2_dist_mult.csv
K-Means,0.0566 ± 0.0158,0.4226 ± 0.0018,0.5783 ± 0.0110,11.5106 ± 0.0000,dataset_3_dist_mult.csv
K-Means,0.0519 ± 0.0116,0.4394 ± 0.0023,0.6899 ± 0.0027,18.2694 ± 0.0061,dataset_4_dist_mult.csv
K-Means,0.0216 ± 0.0063,0.6804 ± 0.0000,0.9755 ± 0.0000,19.1114 ± 0.0000,dataset_5_dist_mult.csv
K-Means,0.0374 ± 0.0054,0.4556 ± 0.0001,0.7559 ± 0.0014,17.3312 ± 0.0143,dataset_6_dist_mult.csv
K-Means,0.0380 ± 0.0045,0.4414 ± 0.0000,0.6859 ± 0.0007,18.5989 ± 0.0000,dataset_7_dist_mult.csv
K-Means,0.0399 ± 0.0052,0.3493 ± 0.0103,0.4726 ± 0.0064,17.4235 ± 0.0871,dataset_8_dist_mult.csv
K-Means,0.0346 ± 0.0042,0.4209 ± 0.0003,0.6684 ± 0.0027,19.8590 ± 0.0293,dataset_9_dist_mult.csv
K-Means,0.0700 ± 0.0262,0.4407 ± 0.0007,-0.0016 ± 0.0000,2255.7181 ± 0.1906,
K-Means,0.9101 ± 0.4208,0.1871 ± 0.0023,0.6719 ± 0.0025,1884.7318 ± 1.0507,
K-Means,0.1492 ± 0.0534,0.1762 ± 0.0069,0.1415 ± 0.0101,3.5747 ± 0.0435,
